"R0000100","R0532200","R0536300","R0536402","R0552200","R0690800","R0691200","R1482600","S1249300","T1067500","T3162503","T9110400","U3572700","U4370902","U4370904","U4370905","Z9073400","Z9149100"
203,1,2,1984,-4,-4,-4,4,0,0,1,0,5,0,0,0,1,3
204,0,2,1981,3,-4,-4,4,0,0,4,0,3,2,3,0,-4,1
205,0,2,1983,3,1,-4,4,0,0,2,-5,2,0,2,0,-4,0
206,1,1,1982,1,-4,-4,4,0,0,-5,0,5,0,0,0,-4,1
207,1,2,1981,1,-4,-4,4,0,-5,-5,-5,5,0,0,0,-4,1
208,1,2,1984,1,1,-4,4,0,-5,-5,0,-5,-5,-5,-5,-4,1
209,1,1,1983,1,-4,1,2,0,-5,-5,-5,-5,-5,-5,-5,-4,0
210,1,1,1984,1,-4,0,2,0,-5,-5,-5,-5,-5,-5,-5,-4,0
211,1,2,1980,1,-4,-4,2,0,0,7,0,5,0,-2,0,-4,-3
212,1,1,1980,1,-4,-4,2,0,0,1,0,-5,-5,-5,-5,-4,1
213,1,2,1982,1,-4,-4,2,0,0,2,0,5,0,0,0,-4,1
214,1,2,1982,1,-4,-4,2,0,0,6,0,5,1,0,1,-4,0
215,0,1,1981,1,-4,-4,2,0,0,4,0,5,0,3,0,-4,0
216,1,2,1980,1,1,-4,2,0,0,3,0,5,0,1,1,-4,1
217,0,2,1982,-4,-4,-4,2,0,0,1,0,3,0,0,0,-4,1
218,1,1,1983,-4,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
219,1,1,1982,5,-4,-4,3,0,0,6,0,5,0,0,0,-4,0
220,1,1,1984,25,-4,1,4,0,-5,-5,-5,3,1,1,0,-4,0
221,0,2,1984,16,0,-4,4,0,0,3,0,4,0,0,0,1,3
222,1,1,1981,1,-4,-4,2,0,0,3,0,-5,-5,-5,-5,-4,0
223,1,1,1981,1,-4,-4,2,0,0,2,0,4,0,0,0,-4,0
224,0,2,1982,9,-4,-4,4,0,0,3,0,3,0,0,0,-4,1
225,0,1,1980,1,-4,-4,4,0,0,3,0,3,1,1,1,-4,1
226,0,2,1981,2,-4,-4,1,0,0,-5,0,4,0,0,0,-4,2
227,0,2,1980,11,-4,-4,3,0,0,-2,0,-5,-5,-5,-5,-4,0
228,0,1,1984,35,-4,1,4,0,0,3,0,5,0,0,0,-4,-3
229,0,2,1984,1,1,-4,4,0,0,2,0,5,0,0,0,-4,0
230,1,1,1984,1,-4,0,2,0,0,1,0,5,0,0,0,-4,0
231,0,1,1980,-4,-4,-4,2,0,-2,4,0,3,0,0,0,1,3
232,0,1,1984,1,-4,2,2,0,0,6,0,5,0,0,0,-4,1
233,1,1,1980,1,-4,-4,2,0,0,1,0,3,0,0,0,-4,0
234,0,2,1983,-4,-4,-4,2,0,1,3,0,3,0,0,0,-4,0
235,1,2,1981,21,-4,-4,4,0,0,5,0,5,0,0,0,-4,0
236,0,2,1984,1,0,-4,2,0,-5,4,0,4,0,0,0,-4,0
237,1,1,1983,1,-4,0,4,0,-5,2,0,5,0,0,0,-4,0
238,0,2,1981,-4,-4,-4,4,0,0,3,0,5,0,0,1,-4,0
239,1,1,1980,7,-4,-4,4,-5,0,2,0,4,0,0,0,-4,0
240,1,2,1983,7,0,-4,4,0,0,4,0,5,0,1,1,-4,1
